,None_c=3,None_c=4,None_c=5,normalize_c=3,normalize_c=4,normalize_c=5,pca_c=3,pca_c=4,pca_c=5,transform_c=3,transform_c=4,transform_c=5,scale_c=3,scale_c=4,scale_c=5
Silhouette,0.35155761891354503,0.35155761891354503,0.35155761891354503,0.34341668805241077,0.34341668805241077,0.34341668805241077,0.35155761891354526,0.35155761891354526,0.35155761891354526,0.35155761891354503,0.35155761891354503,0.35155761891354503,0.31968886613351655,0.31968886613351655,0.31968886613351655
Calinski-Harabasz,445.08110472913967,445.08110472913967,445.08110472913967,176.9949023795978,176.9949023795978,176.9949023795978,445.0811047291399,445.0811047291399,445.0811047291399,445.08110472913967,445.08110472913967,445.08110472913967,234.71155544208196,234.71155544208196,234.71155544208196
Davies-Bouldin,0.9806305938158804,0.9806305938158804,0.9806305938158804,0.9040893103996975,0.9040893103996975,0.9040893103996975,0.980630593815883,0.980630593815883,0.980630593815883,0.9806305938158804,0.9806305938158804,0.9806305938158804,1.0427102271304332,1.0427102271304332,1.0427102271304332
