,None_c=3,None_c=4,None_c=5,normalize_c=3,normalize_c=4,normalize_c=5,pca_c=3,pca_c=4,pca_c=5,transform_c=3,transform_c=4,transform_c=5,scale_c=3,scale_c=4,scale_c=5
Silhouette,0.68548158489118,0.68548158489118,0.68548158489118,0.580184463257396,0.580184463257396,0.580184463257396,0.68548158489118,0.68548158489118,0.68548158489118,0.68548158489118,0.68548158489118,0.68548158489118,0.6294675561906644,0.6294675561906644,0.6294675561906644
Calinski-Harabasz,508.8821831629575,508.8821831629575,508.8821831629575,248.90342786485118,248.90342786485118,248.90342786485118,508.8821831629579,508.8821831629579,508.8821831629579,508.8821831629575,508.8821831629575,508.8821831629575,353.3674032325119,353.3674032325119,353.3674032325119
Davies-Bouldin,0.3892910671661126,0.3892910671661126,0.3892910671661126,0.5975546650809878,0.5975546650809878,0.5975546650809878,0.3892910671661127,0.3892910671661127,0.3892910671661127,0.3892910671661126,0.3892910671661126,0.3892910671661126,0.48770481288357487,0.48770481288357487,0.48770481288357487
