,None_c=3,None_c=4,None_c=5,normalize_c=3,normalize_c=4,normalize_c=5,pca_c=3,pca_c=4,pca_c=5,transform_c=3,transform_c=4,transform_c=5,scale_c=3,scale_c=4,scale_c=5
Silhouette,0.4978256901095472,0.4978256901095472,0.4978256901095472,0.3904820205538904,0.3904820205538904,0.3904820205538904,0.49782569010954697,0.49782569010954697,0.49782569010954697,0.4978256901095472,0.4978256901095472,0.4978256901095472,0.4446273300650682,0.4446273300650682,0.4446273300650682
Calinski-Harabasz,529.3982941434156,529.3982941434156,529.3982941434156,206.09816208238414,206.09816208238414,206.09816208238414,529.3982941434158,529.3982941434158,529.3982941434158,529.3982941434156,529.3982941434156,529.3982941434156,313.18384060584253,313.18384060584253,313.18384060584253
Davies-Bouldin,0.78064003623761,0.78064003623761,0.78064003623761,0.8650510352777203,0.8650510352777203,0.8650510352777203,0.7806400362376078,0.7806400362376078,0.7806400362376078,0.78064003623761,0.78064003623761,0.78064003623761,0.9011266144589232,0.9011266144589232,0.9011266144589232
