,None_c=3,None_c=4,None_c=5,normalize_c=3,normalize_c=4,normalize_c=5,pca_c=3,pca_c=4,pca_c=5,transform_c=3,transform_c=4,transform_c=5,scale_c=3,scale_c=4,scale_c=5
Silhouette,0.49142255311907995,0.49142255311907995,0.49142255311907995,0.07526183837869377,0.07526183837869377,0.07526183837869377,0.4914225531190796,0.4914225531190796,0.4914225531190796,0.49142255311907995,0.49142255311907995,0.49142255311907995,0.3982039357062952,0.3982039357062952,0.3982039357062952
Calinski-Harabasz,466.63088696085265,466.63088696085265,466.63088696085265,20.216215071350767,20.216215071350767,20.216215071350767,466.63088696085276,466.63088696085276,466.63088696085276,466.63088696085265,466.63088696085265,466.63088696085265,268.7013955009539,268.7013955009539,268.7013955009539
Davies-Bouldin,0.6582271985497592,0.6582271985497592,0.6582271985497592,1.594732628111223,1.594732628111223,1.594732628111223,0.6582271985497586,0.6582271985497586,0.6582271985497586,0.6582271985497592,0.6582271985497592,0.6582271985497592,0.8559193132950065,0.8559193132950065,0.8559193132950065
