,None_c=3,None_c=4,None_c=5,normalize_c=3,normalize_c=4,normalize_c=5,pca_c=3,pca_c=4,pca_c=5,transform_c=3,transform_c=4,transform_c=5,scale_c=3,scale_c=4,scale_c=5
Silhouette,-0.0987011068352364,-0.0987011068352364,-0.0987011068352364,-0.30067521467860825,-0.30067521467860825,-0.30067521467860825,-0.09870110683523596,-0.09870110683523596,-0.09870110683523596,-0.0987011068352364,-0.0987011068352364,-0.0987011068352364,-0.21973486413157,-0.21973486413157,-0.21973486413157
Calinski-Harabasz,23.004158814162754,23.004158814162754,23.004158814162754,8.539353285042582,8.539353285042582,8.539353285042582,23.004158814162764,23.004158814162764,23.004158814162764,23.004158814162754,23.004158814162754,23.004158814162754,16.398007788890737,16.398007788890737,16.398007788890737
Davies-Bouldin,2.145693507231532,2.145693507231532,2.145693507231532,2.503840573778183,2.503840573778183,2.503840573778183,2.145693507231545,2.145693507231545,2.145693507231545,2.145693507231532,2.145693507231532,2.145693507231532,3.181224060814554,3.181224060814554,3.181224060814554
